month,gross,benchmark,turnover,net,cum_gross,cum_net,cum_benchmark
2016-04,-0.16770417093159967,0.01218548017135341,,-0.16770417093159967,-0.16770417093159962,-0.16770417093159962,0.012185480171353458
2016-05,0.008308927448270265,-0.010640099631520074,0.55,0.007758927448270265,-0.16078868527237244,-0.16124644797835985,0.0014157258167522002
2016-06,0.12031973340666897,0.04475816615464577,0.5,0.11981973340666897,-0.05981500361248404,-0.0607472209812302,0.04623725726273342
2016-07,-0.03267569534733471,0.09536493450826317,0.65,-0.033325695347334705,-0.09053620212457747,-0.09204847294894714,0.14601160478169883
2016-08,0.030465872037831115,0.0086934701868484,0.65,0.029815872037831113,-0.06282859443546507,-0.06497710640183951,0.15597442250165083
2016-09,-0.0845463260354233,-0.022954304053666743,0.5,-0.0850463260354233,-0.14206299364140018,-0.1444973682613736,0.12943983412928617
2016-10,0.009680519497132157,0.041685592901638854,0.7,0.008980519497132158,-0.13375771772403455,-0.13681451019719693,0.17652120326169407
2016-11,-0.09792083004903468,0.30468728211014,0.55,-0.09847083004903467,-0.21858088102806728,-0.22181310186436154,0.5349922510284513
2016-12,0.04873534467357936,0.0351883536985936,0.75,0.04798534467357936,-0.1804981509304454,-0.18447153533685934,0.5890061012822407
2017-01,0.04711621961374437,0.07974094232984232,0.8,0.04631621961374437,-0.14188632183581462,-0.1466993398662616,0.7157149451663554
2017-02,0.012102516497074311,0.0069256266550953936,0.65,0.011452516497074312,-0.13150098688946743,-0.13692689997911567,0.7275973463231451
2017-03,-0.04216639870325818,0.012801665342240162,0.6,-0.042766398703258185,-0.16812246254967245,-0.17383742828466586,0.7497134693969163
2017-04,0.010669716330979883,0.0134078300530252,0.7,0.009969716330979884,-0.15924656520296332,-0.16560082180139113,0.7731733302360793
2017-05,-0.005779813610621398,0.013683888579716415,0.65,-0.006429813610621398,-0.16410596334857996,-0.17096585299406386,0.7974372365195543
2017-06,0.030463769143536684,0.024837974374561794,0.6,0.029863769143536684,-0.13864148038757207,-0.14620776861576978,0.84208193654011
2017-07,-0.03226010039055796,-0.01174181452515987,0.44999999999999996,-0.03271010039055796,-0.1664289927025313,-0.1741353982170265,0.8204525521011088
2017-08,0.03957124873413341,0.03885100351152319,0.7,0.03887124873413341,-0.13344354703520112,-0.14203300986040457,0.8911789605953504
2017-09,0.017398623892642157,0.0137866358748757,0.55,0.016848623892642158,-0.1183666572283244,-0.12757744673124027,0.9172519562993044
2017-10,0.10268949283727431,0.0273078035563682,0.65,0.10203949283727431,-0.02783217639067015,-0.03855589185589614,0.9696078960899888
2017-11,0.15243559091914438,0.028117406226791708,0.6,0.1518355909191444,0.12036080027379659,0.10742554243989377,1.0249881614118475
2017-12,0.03524060026733049,0.0428730051866325,0.65,0.03459060026733049,0.159842987391432,0.1457320567042637,1.1118054893589266
2018-01,0.08286124661732305,-0.037146335985077675,0.55,0.08231124661732306,0.25594902320704627,0.240038690581021,1.0333596531160687
2018-02,-0.006536227631243013,-0.0033819161779078894,0.5,-0.0070362276312430135,0.24773985449812774,0.23131349608254448,1.0264830012096904
2018-03,-0.01329256946739536,0.00407537643268357,0.44999999999999996,-0.01374256946739536,0.2311541858049737,0.21439208482648864,1.034741682274054
2018-04,0.14172228674972612,0.03221550764039645,0.44999999999999996,0.1412722867497261,0.4056361723587518,0.3859520316606939,1.100291918485587
2018-05,0.05649209552816461,0.002893756625692327,0.44999999999999996,0.05604209552816461,0.48504350528548623,0.46362368781647634,1.106369652140593
2018-06,0.05412012771707857,0.028612065364142198,0.35,0.053770127717078564,0.565414249456955,0.5423229204401099,1.166637238308685
2018-07,0.1378872007792915,0.025205466700744267,0.35,0.13753720077929152,0.7812648383745899,0.7544496976151844,1.2212483410714667
2018-08,0.014179011407268821,-0.003785169989138684,0.44999999999999996,0.01372901140726882,0.8065214128372702,0.7785365575272225,1.212840538512419
2018-09,-0.2562636277605288,-0.09994468676436277,0.35,-0.2566136277605288,0.34357568195651544,0.32213983939543933,0.9916788840313115
2018-10,0.02823259593484962,0.022524294157193123,0.6,0.02763259593484962,0.38150831129308393,0.3586739953468203,1.0365400450819027
2018-11,-0.008822610927325863,-0.09769328523118882,0.65,-0.009472610927325863,0.3693198009696781,0.34580380521182463,0.8375837575729783
2018-12,0.03468957749223961,0.1006029806149937,0.44999999999999996,0.03423957749223961,0.4168209263170737,0.39188355888972604,1.02245016071452
2019-01,-0.01245446929947559,0.04317318990423462,0.75,-0.01320446929947559,0.3991751735874032,0.37350447516792173,1.109765785574898
2019-02,0.023079145403749855,0.00620254502342491,0.85,0.022229145403749855,0.43146694086394377,0.40403630585913053,1.1228517028488074
2019-03,0.01905856459357031,0.0342860174841646,0.44999999999999996,0.018608564593570312,0.4587486460199599,0.4301634061484281,1.19563583344897
2019-04,-0.08568932844436856,-0.04676447010223719,0.4,-0.08608932844436856,0.33374945417337765,0.30704159894739913,1.0929580871602451
2019-05,0.1074398219306644,0.07865355451101325,0.75,0.1066898219306644,0.47704725802988635,0.44648963439506817,1.2575766801579693
2019-06,0.03682611685533067,0.02096789019620364,0.44999999999999996,0.036376116855330674,0.5314411729549409,0.49910731036584766,1.3049133000970317
2019-07,-0.03327095003034625,-0.026254511521117917,0.4,-0.033670950030346244,0.4804886702151421,0.44863094302839235,1.2443989273044562
2019-08,-0.10529529990822961,0.006195187078368785,0.6,-0.10589529990822961,0.3246001716741027,0.29522773486005915,1.2583033985375973
2019-09,0.03425092427852587,0.021165797975909666,0.7,0.03355092427852587,0.3699689518534348,0.33868382251579554,1.3061021920393543
2019-10,0.037552882318481404,0.028121628015060355,0.85,0.03670288231848141,0.4214152346823601,0.38781737731524757,1.3709535400486006
2019-11,0.11818361580004402,0.03129951811119143,0.75,0.11743361580004402,0.5894032266703895,0.5507937900035109,1.4451632433161454
2019-12,-0.06821401790202983,-0.011432375446284492,0.5,-0.06871401790202983,0.4809836465127515,0.44423251775485295,1.4172092190911005
2020-01,0.0468147971815404,-0.06622678688327709,0.65,0.0461647971815404,0.5503155955534242,0.5109052190199912,1.2571252192860616
2020-02,-0.08947669465672765,-0.17752732497720958,0.55,-0.09002669465672765,0.41159848038852753,0.37488341621202226,0.8564238169676095
2020-03,0.1358855773405453,0.14095627099858063,0.5,0.1353855773405453,0.6034143548691588,0.5610228012918281,1.118098395600315
2020-04,0.14268365953822246,0.07993361444042771,0.5,0.14218365953822246,0.8321953827780084,0.7829747358021077,1.287405656101119
2020-05,0.11261251894543083,0.009950640339502237,0.7,0.11191251894543082,1.0385235200328276,0.9825119297017857,1.3101668070955244
2020-06,0.1358683625002614,0.05639579988135726,0.55,0.1353183625002614,1.3154943726179567,1.2507821976662648,1.4404505120410378
2020-07,0.21983034831986364,0.0503224215196569,0.4,0.21943034831986363,1.824510307083246,1.7446721192923214,1.5632598914058295
2020-08,0.024417771182676025,-0.02290449233481846,0.4,0.024017771182676024,1.893478553464715,1.810593026224955,1.504549724870977
2020-09,0.00018437076781886995,0.004600226283391712,0.44999999999999996,-0.00026562923218113004,1.8940120263272848,1.8098464505574254,1.51607122034339
2020-10,0.2348348656482937,0.16603764781972366,0.55,0.2342848656482937,2.573626951714399,2.468150948718607,1.933833767516108
2020-11,0.24500264383262688,0.056254820514340984,0.6,0.2444026438326269,3.4491750029559576,3.3157762097960672,2.0988760595266394
2020-12,0.21030664255027115,0.042655862946735755,0.55,0.20975664255027116,4.3848660599462175,4.221038937561225,2.231061292010728
2021-01,0.21999864046718196,0.07736758655188514,0.35,0.21964864046718197,5.569529272232256,5.3678330420227685,2.4810407061748134
2021-02,-0.11940509774845472,0.03253386790255768,0.4,-0.11980509774845471,4.785093987320028,4.604934181977391,2.5942924246729313
2021-03,-0.0635810095786562,0.03794989576630834,0.5,-0.0640810095786562,4.417271871098807,4.24576434097436,2.7306954475429004
2021-04,0.035324101095531926,0.028511620886359827,0.6,0.03472410109553192,4.608632130335482,4.42791879227369,2.837063621785712
2021-05,0.036049104699103454,0.01270016728195733,0.55,0.03549910469910345,4.810818297220701,4.620605049778845,2.8857949716539033
2021-06,-0.035389439557198886,-0.0021518188562313885,0.8,-0.03618943955719889,4.605176694313344,4.417198503054987,2.8774334447624494
2021-07,0.052558323537582205,0.022324712278196823,0.6,0.0519583235375822,4.89977538449838,4.698667055544024,2.963996030794629
2021-08,-0.03143294059195328,-0.03139020860967309,0.75,-0.03218294059195328,4.714328095331574,4.5152671922421295,2.8395653684600695
2021-09,0.11915777544099833,0.0523936093821956,0.5,0.11865777544099833,5.395234719311281,5.169696528236301,3.040734056572572
2021-10,-0.0044261737139154045,-0.030797973902213588,0.7,-0.005126173713915405,5.366928299502346,5.138069592070421,2.916287634552464
2021-11,-0.0735565285327271,0.037773612066522216,0.55,-0.07410652853272709,4.898599156374174,4.683198562709789,3.0642199644009667
2021-12,-0.10565193294159766,-0.041323105011315156,0.5,-0.10615193294159767,4.275400753855565,4.079916049987236,2.896273776022942
2022-01,0.03355140004662122,0.00408884981073694,0.85,0.032701400046621226,4.452397834954421,4.24603641694112,2.9122050543146125
2022-02,0.07572754179870603,0.046482065830159236,0.8,0.07492754179870603,4.865294519904106,4.63910902984901,3.094052427190346
2022-03,-0.05376407136184571,-0.07690028818875329,0.5,-0.05426407136184571,4.549952406777739,4.333108015036054,2.7792186156795435
2022-04,0.07317246168389464,0.004956818279403611,0.55,0.07262246168389465,4.956056086610122,4.720411447514081,2.797951515595606
2022-05,-0.1517628778442222,-0.08799247878624876,0.6,-0.1523628778442222,4.052147874304574,3.8488330969178026,2.4637603474283587
2022-06,-0.05173123632671626,0.08572610499919299,0.8,-0.05253123632671626,3.7907940186614066,3.59411789959481,2.760695030664044
2022-07,0.05274390727500964,-0.004157290510771056,0.7,0.05204390727500964,4.043479214155354,3.8332137455717845,2.74506072889916
2022-08,-0.15571359029563936,-0.08924278130572885,0.55,-0.15626359029563935,3.258140958137794,3.077958413022503,2.410841093293339
2022-09,0.12135563778655653,0.07995330010859848,0.8,0.12055563778655654,3.7748903698976655,3.5695792903714842,2.6835490948481615
2022-10,-0.061900348994491664,0.07145415320335852,0.65,-0.06255034899449166,3.479322989590562,3.283750511000746,2.9467539762035346
2022-11,-0.0380851161979293,-0.044051096712844406,0.7,-0.0387851161979293,3.308727453043949,3.1176047496686428,2.772895135095989
2022-12,0.07448968818567264,0.11033368171483424,0.85,0.07363968818567264,3.6296832174982407,3.420823879506086,3.189172546075116
2023-01,-0.052184173504411235,-0.02400398215078296,0.8,-0.05298417350441124,3.3880870252058513,3.1865901800418914,3.0886157230525786
2023-02,-0.0450846674927773,-0.01970644293538607,0.65,-0.0457346674927773,3.190251580745075,2.9951178702291488,3.008043650621521
2023-03,-0.0530610224519775,-0.01651149432805766,0.7,-0.0537610224519775,2.9679125475397266,2.780336248709463,2.941864860617676
2023-04,0.14887725197687754,-0.007967496264565884,0.55,0.14832725197687754,3.558644463702012,3.341063136029115,2.9104580670652815
2023-05,0.08361918792277243,0.07999999056620637,0.55,0.08306918792277243,3.9398346117854164,3.701671725460538,3.22329467554005
2023-06,0.13649724103971134,0.04651269964737,0.6,0.13589724103971135,4.6141084074866,4.340615941225043,3.4197315123057805
2023-07,-0.07046046997218229,-0.02901445296127962,0.44999999999999996,-0.0709104699721823,4.218535690620315,3.961910354891847,3.2914954202404996
2023-08,-0.09671470339431361,-0.058724514106429246,0.55,-0.0972647033943136,3.7138265591493314,3.479291615954118,3.03947943689691
2023-09,-0.12642483056152184,-0.052371978689014664,0.30000000000000004,-0.12672483056152184,3.1178818351124757,2.911654144886687,2.827923905913032
2023-10,0.04150954342395145,0.10199728902896567,0.8,0.04070954342395145,3.288813229961778,3.070895799157432,3.218361766925331
2023-11,0.056986897715379944,0.07278905743545039,0.75,0.056236897715379944,3.533219390817978,3.299830349824618,3.525412343861567
2023-12,-0.13874760015969068,-0.013423044527233127,0.7,-0.13944760015969068,2.9042460793446083,2.7002293264477717,3.464667532465823
2024-01,0.29828861710258414,0.05966484408084779,0.5,0.29778861710258414,4.0688382431804975,3.8021155005330796,3.7310512246632195
2024-02,0.11404754126076462,0.03877135389734074,0.4,0.11364754126076462,4.646926781863767,4.347864120018871,3.914480486001084
2024-03,-0.08969243953838928,-0.02621037213954688,0.44999999999999996,-0.09014243953838928,4.14044014290374,3.8657946019205482,3.785670123590454
2024-04,0.19549135500060377,0.03686969082234494,0.5,0.19499135500060377,5.145351751739489,4.814582484503659,3.9621163014249676
2024-05,-0.032407343624610715,-0.007291545888032409,0.7,-0.033107343624610715,4.946197225826764,4.6220771041555535,3.9259348027113736
2024-06,0.01871283395289806,0.03337672407188905,0.6,0.01811283395289806,5.057467427164844,4.723908853213513,4.090346369417586
2024-07,-0.04033405711916606,0.014690546167208558,0.35,-0.04068405711916606,4.813145189960089,4.491037018484475,4.1651263377645975
2024-08,0.07508859422932232,0.024158342339590234,0.75,0.07433859422932232,5.249646090325139,4.89923299129978,4.2899072280595485
2024-09,0.05309340441154307,0.013406339617653591,0.65,0.05244340441154307,5.5814610776277895,5.208608852780431,4.360825520904795
2024-10,0.4292360876704865,0.07493981702288195,0.6,0.4286360876704865,8.406461681744325,7.869842661312582,4.762564804532996
2024-11,0.03945059370898548,-0.05259794269464791,0.55,0.03890059370898548,8.77755217978996,8.214884806942928,4.459465751169975
2024-12,0.00879002387152369,0.03731592055418871,0.44999999999999996,0.008340023871523689,8.863497096855383,8.291737166206174,4.663190741408948
2025-01,-0.25570593434034483,-0.041630161165099586,0.30000000000000004,-0.25600593434034485,6.341342355840698,5.912997311326653,4.427431198135394
2025-02,-0.098670608139279,-0.0392767183263353,0.7,-0.099370608139279,5.616967641031249,5.226048564434923,4.214259511730665
2025-03,-0.07384494754956003,-0.00786125981862155,0.75,-0.07459494754956003,5.1283380126421605,4.761616798329887,4.173268862947232
2025-04,0.015669653695856822,0.05743020199295449,0.7,0.014969653695856823,5.224366947031419,4.847866206529116,4.4703707387101534
2025-05,0.08336196900842477,0.05518438736367955,0.8,0.08256196900842477,5.743242431566917,5.330677555037988,4.772249796578072
2025-06,0.06078845677534692,0.031910873715373454,0.6,0.06018845677534692,6.153153732643908,5.7117112674180515,4.956447330890265
2025-07,0.007653118648948814,0.04364022797552375,0.35,0.007303118648948815,6.207897666874002,5.760727691141492,5.216388050334516
2025-08,0.21199401057279674,0.03124778056372484,0.6,0.21139401057279675,7.735928801072927,7.189905032162455,5.41063638003033
2025-09,0.16975406289560366,0.017237823683337823,0.44999999999999996,0.16930406289560365,9.218888208221776,8.57648922883671,5.5211417996472845
2025-10,-0.06369358453349612,0.00874021481721737,0.4,-0.06409358453349612,8.568010588293054,7.962697706914149,5.578137979829737
