strategy,annualized_return,annualized_volatility,sharpe_zero_rf,max_drawdown,negative_months,months
Top30 baseline,0.2798259689398055,0.342801303670109,0.8162920208993513,-0.3374040838033795,48,123
Top30 regime overlay,0.22761452807933313,0.3181639624625999,0.7154000921964541,-0.3419246867189538,37,123
Benchmark,0.21621746902185013,0.19546528803095756,1.106168114041844,-0.24077714563960317,38,123
