year,net_return,benchmark_return
2016,-0.18447153533685934,0.5890061012822407
2017,0.40489523830111285,0.3290103088054954
2018,0.21484211840377876,-0.04231229111518786
2019,0.03761015677696822,0.19518852234020678
2020,2.6150958196659677,0.33669078642089834
2021,-0.027029656216259967,0.20588049061682878
2022,-0.12974469735239114,0.07517407320158753
2023,-0.16300005897064207,0.06576358060228915
2024,1.5111246753795826,0.2684462393286393
2025,0.2436258465072172,0.23080397640580785
2026,-0.04234665029610618,0.0668788359785022
