month,gross,benchmark,regime,turnover,base_net,overlay_net
2016-04,-0.15095781371712316,0.01218548017135341,False,,-0.15095781371712316,0.0
2016-05,-0.0004725546520148005,-0.010640099631520074,False,0.5666666666666667,-0.0010392213186814672,0.0
2016-06,0.09739839138248528,0.04475816615464577,False,0.5,0.09689839138248528,0.0
2016-07,-0.03544158086009754,0.09536493450826317,False,0.5666666666666667,-0.03600824752676421,0.0
2016-08,0.020978207994020726,0.0086934701868484,False,0.5666666666666667,0.02041154132735406,0.0
2016-09,-0.04699053325631284,-0.022954304053666743,False,0.5666666666666667,-0.04755719992297951,0.0
2016-10,0.05592389184795248,0.041685592901638854,True,0.5333333333333333,0.05539055851461915,0.05539055851461915
2016-11,-0.05345164508159032,0.30468728211014,True,0.5,-0.05395164508159032,-0.05395164508159032
2016-12,0.03813668342189344,0.0351883536985936,True,0.6666666666666667,0.03747001675522677,0.03747001675522677
2017-01,0.041400769046329985,0.07974094232984232,True,0.6333333333333333,0.04076743571299665,0.04076743571299665
2017-02,0.022011269517678057,0.0069256266550953936,True,0.7,0.021311269517678057,0.021311269517678057
2017-03,-0.01842092347569312,0.012801665342240162,True,0.6,-0.01902092347569312,-0.01902092347569312
2017-04,0.02630023718164539,0.0134078300530252,True,0.6,0.02570023718164539,0.02570023718164539
2017-05,-0.007059816825872419,0.013683888579716415,True,0.6666666666666667,-0.007726483492539086,-0.007726483492539086
2017-06,0.03140247790721471,0.024837974374561794,True,0.4666666666666667,0.030935811240548044,0.030935811240548044
2017-07,-0.024487502058171746,-0.01174181452515987,True,0.4666666666666667,-0.024954168724838414,-0.024954168724838414
2017-08,0.028655083095248272,0.03885100351152319,True,0.6666666666666667,0.027988416428581606,0.027988416428581606
2017-09,0.0227443074026993,0.0137866358748757,True,0.6,0.0221443074026993,0.0221443074026993
2017-10,0.06344828314750788,0.0273078035563682,True,0.5,0.06294828314750787,0.06294828314750787
2017-11,0.12219010657584707,0.028117406226791708,True,0.6333333333333333,0.12155677324251374,0.12155677324251374
2017-12,0.040999120091686145,0.0428730051866325,True,0.5666666666666667,0.04043245342501948,0.04043245342501948
2018-01,0.0493381280274349,-0.037146335985077675,True,0.5666666666666667,0.04877146136076823,0.04877146136076823
2018-02,-0.012975548583990582,-0.0033819161779078894,True,0.5,-0.013475548583990582,-0.013475548583990582
2018-03,-0.018179537584947683,0.00407537643268357,True,0.5333333333333333,-0.018712870918281017,-0.018712870918281017
2018-04,0.13531157311204942,0.03221550764039645,True,0.5333333333333333,0.13477823977871609,0.13477823977871609
2018-05,0.03036214427341132,0.002893756625692327,True,0.5,0.029862144273411318,0.029862144273411318
2018-06,0.03114132139192781,0.028612065364142198,True,0.33333333333333337,0.030807988058594474,0.030807988058594474
2018-07,0.14978888258744527,0.025205466700744267,True,0.4,0.14938888258744526,0.14938888258744526
2018-08,0.01597411100130614,-0.003785169989138684,True,0.43333333333333335,0.015540777667972804,0.015540777667972804
2018-09,-0.22420734635561468,-0.09994468676436277,True,0.33333333333333337,-0.224540679688948,-0.224540679688948
2018-10,0.03003159257672184,0.022524294157193123,False,0.6666666666666667,0.029364925910055174,0.0
2018-11,-0.03887313238651699,-0.09769328523118882,False,0.6333333333333333,-0.03950646571985032,0.0
2018-12,0.035810679131384214,0.1006029806149937,False,0.5333333333333333,0.035277345798050884,0.0
2019-01,-0.004163318447985886,0.04317318990423462,False,0.8,-0.004963318447985887,0.0
2019-02,0.00795404912086003,0.00620254502342491,False,0.6,0.00735404912086003,0.0
2019-03,0.027644327700015955,0.0342860174841646,False,0.5,0.027144327700015954,0.0
2019-04,-0.03965118217514945,-0.04676447010223719,True,0.4,-0.04005118217514945,-0.04005118217514945
2019-05,0.0908148880572809,0.07865355451101325,True,0.6666666666666667,0.09014822139061424,0.09014822139061424
2019-06,0.030898374755193424,0.02096789019620364,True,0.5333333333333333,0.03036504142186009,0.03036504142186009
2019-07,-0.007617347456284529,-0.026254511521117917,True,0.3666666666666667,-0.007984014122951195,-0.007984014122951195
2019-08,-0.10124594263785228,0.006195187078368785,True,0.4666666666666667,-0.10171260930451895,-0.10171260930451895
2019-09,0.04410987973362195,0.021165797975909666,True,0.6,0.04350987973362195,0.04350987973362195
2019-10,0.05187998230397775,0.028121628015060355,True,0.7666666666666666,0.051113315637311085,0.051113315637311085
2019-11,0.09599810605854825,0.03129951811119143,True,0.6,0.09539810605854825,0.09539810605854825
2019-12,-0.043659010552608235,-0.011432375446284492,True,0.6,-0.04425901055260824,-0.04425901055260824
2020-01,0.003454513058894304,-0.06622678688327709,True,0.6,0.0028545130588943043,0.0028545130588943043
2020-02,-0.10205850510127684,-0.17752732497720958,True,0.6333333333333333,-0.10269183843461017,-0.10269183843461017
2020-03,0.1349882120648191,0.14095627099858063,False,0.5,0.1344882120648191,0.0
2020-04,0.12152995812688121,0.07993361444042771,False,0.5666666666666667,0.12096329146021453,0.0
2020-05,0.07189954602708153,0.009950640339502237,False,0.6,0.07129954602708152,0.0
2020-06,0.14562691550419268,0.05639579988135726,False,0.6333333333333333,0.14499358217085934,0.0
2020-07,0.1643566784928268,0.0503224215196569,True,0.4,0.1639566784928268,0.1639566784928268
2020-08,0.007488773650509077,-0.02290449233481846,True,0.43333333333333335,0.007055440317175744,0.007055440317175744
2020-09,0.013154905915330146,0.004600226283391712,True,0.5,0.012654905915330146,0.012654905915330146
2020-10,0.28619605085814775,0.16603764781972366,True,0.5333333333333333,0.2856627175248144,0.2856627175248144
2020-11,0.22449218342931102,0.056254820514340984,True,0.5333333333333333,0.22395885009597769,0.22395885009597769
2020-12,0.17396977895818985,0.042655862946735755,True,0.4666666666666667,0.17350311229152318,0.17350311229152318
2021-01,0.2122271521279628,0.07736758655188514,True,0.4666666666666667,0.21176048546129614,0.21176048546129614
2021-02,-0.08330312389827194,0.03253386790255768,True,0.4,-0.08370312389827193,-0.08370312389827193
2021-03,-0.02978673035635625,0.03794989576630834,True,0.5333333333333333,-0.030320063689689584,-0.030320063689689584
2021-04,0.03525767966315218,0.028511620886359827,True,0.5666666666666667,0.03469101299648551,0.03469101299648551
