portfolio_size,annualized_return,annualized_volatility,sharpe_zero_rf,max_drawdown,average_monthly_turnover,negative_months,months
10,0.18916030539821027,0.5125480913402375,0.3690586475575083,-0.5787047937248746,0.6122950819672133,55,123
20,0.2643088255835002,0.38544208338058134,0.6857290290290501,-0.41891860197509534,0.582377049180328,48,123
30,0.2798259689398055,0.342801303670109,0.8162920208993513,-0.3374040838033795,0.5647540983606558,48,123
50,0.2460847463872351,0.2961809529849622,0.8308594590811833,-0.3065163179415463,0.5409836065573772,49,123
100,0.20929064296616384,0.24677157083881773,0.8481148872001343,-0.28447236725785097,0.5048360655737705,47,123
